id,name,numbers
37,Pogo Cat,"['2', '3', '3', '1', '1']"
38,Wheel Cat,"['2', '1', '3', '2', '2']"
41,Salon Cat,"['3', '2', '3', '1', '1']"
46,Jurassic Cat,"['3', '2', '3', '1', '1']"
47,Viking Cat,"['2', '3', '2', '1', '2']"
48,Pirate Cat,"['3', '2', '2', '1', '2']"
49,Thief Cat,"['3', '3', '2', '1', '1']"
50,Bishop Cat,"['1', '2', '2', '3', '2']"
51,Fortune Teller Cat,"['1', '3', '2', '2', '2']"
52,Shaman Cat,"['3', '2', '2', '1', '2']"
55,Witch Cat,"['3', '2', '2', '1', '2']"
56,Archer Cat,"['1', '2', '3', '2', '2']"
58,Swordsman Cat,"['3', '2', '2', '1', '2']"
145,Cat Gunslinger,"['1', '2', '3', '2', '2']"
146,Stilts Cat,"['3', '1', '2', '2', '2']"
147,Tin Cat,"['3', '2', '2', '1', '2']"
148,Rocker Cat,"['3', '2', '2', '1', '2']"
149,Mer-Cat,"['2', '3', '1', '2', '2']"
197,Psychocat,"['3', '2', '2', '1', '2']"
198,Onmyoji Cat,"['2', '1', '2', '3', '2']"
308,Gardener Cat,"['1', '2', '3', '2', '2']"
325,Welterweight Cat,"['2', '2', '1', '3', '2']"
376,Rover Cat,"['2', '3', '1', '2', '2']"
523,Wushu Cat,"['3', '2', '2', '1', '2']"
495,Matador Cat,"['1', '1', '3', '2', '2']"
319,Killer Cat,"['3', '3', '3', '3', '3']"
282,Awa-Odori Cat,N/A on UDP
227,Pumpcat,N/A on UDP
658,Ancient Egg: N101,"['5', '5']"
659,Ancient Egg: N102,"['5', '5']"
663,Ancient Egg: N103,"['15', '15', '1']"
664,Ancient Egg: N104,"['13', '13', '1']"
067,Li'l Gau,N/A on UDP
111,Nono,N/A on UDP
370,Sakura the Cat,"['2', '1', '1']"
