id,name,rarity,greenSeed,purpleSeed,redSeed,blueSeed,yellowSeed,epicSeed,akuSeed,elderSeed,goldSeed,greenFruit,purpleFruit,redFruit,blueFruit,yellowFruit,epicFruit,akuFruit,elderFruit,goldFruit,purpleBehemothStone,redBehemothStone,blueBehemothStone,greenBehemothStone,yellowBehemothStone,epicBehemothStone,purpleBehemothGem,redBehemothGem,blueBehemothGem,greenBehemothGem,yellowBehemothGem
37,Pogo Cat,rare,0,2,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Wheel Cat,rare,2,1,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Salon Cat,rare,3,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Jurassic Cat,rare,0,3,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Viking Cat,rare,2,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Pirate Cat,rare,3,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Thief Cat,rare,3,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Bishop Cat,rare,0,1,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Fortune Teller Cat,rare,0,1,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Shaman Cat,rare,0,3,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Witch Cat,rare,3,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Archer Cat,rare,0,1,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Swordsman Cat,rare,3,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Cat Gunslinger,rare,1,0,2,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Stilts Cat,rare,3,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Tin Cat,rare,3,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Rocker Cat,rare,3,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Mer-Cat,rare,0,2,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Psychocat,rare,3,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Onmyoji Cat,rare,0,2,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Gardener Cat,rare,1,0,2,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Welterweight Cat,rare,2,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Rover Cat,rare,2,3,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Wushu Cat,rare,0,3,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Matador Cat,rare,1,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Killer Cat,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0
282,Awa-Odori Cat,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
227,Pumpcat,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
658,Ancient Egg: N101,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
659,Ancient Egg: N102,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
663,Ancient Egg: N103,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,0,0,0,0,0,0,0,0
664,Ancient Egg: N104,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,1,0,0,0,0,0,0
675,Ancient Egg: N105,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
676,Ancient Egg: N106,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
697,Ancient Egg: N107,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
707,Ancient Egg: N109,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
717,Ancient Egg: N110,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
724,Ancient Egg: N112,rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
67,Li'l Gau,rare,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Nono,rare,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Sakura the Cat,rare,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Bodhisattva Cat,super_rare,0,0,0,0,0,0,0,0,0,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Delinquent Cat,super_rare,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Hip Hop Cat,super_rare,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Kotatsu Cat,super_rare,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nerd Cat,super_rare,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Swimmer Cat,super_rare,0,0,0,0,0,0,0,0,0,4,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
